Bundesland_Code;Kreis_Code;Kreis_Name
12;073;Uckermark
13;003;Rostock
13;004;Schwerin
13;071;Mecklenburgische Seenplatte
13;072;Landkreis Rostock
13;073;Vorpommern-Rügen
13;074;Nordwestmecklenburg
13;075;Vorpommern-Greifswald
13;076;Ludwigslust-Parchim
14;511;Chemnitz, Stadt
14;521;Erzgebirgskreis
14;522;Mittelsachsen
14;523;Vogtlandkreis
14;524;Zwickau
14;612;Dresden, Stadt
14;625;Bautzen
14;626;Görlitz
14;627;Meißen
14;628;Sächsische Schweiz-Osterzgebirge
14;713;Leipzig, Stadt
14;729;Leipzig
14;730;Nordsachsen
15;001;Dessau-Roßlau, Stadt
15;002;Halle (Saale), Stadt
15;003;Magdeburg, Landeshauptstadt
15;081;Altmarkkreis Salzwedel
15;082;Anhalt-Bitterfeld
15;083;Börde
15;084;Burgenlandkreis
15;085;Harz
15;086;Jerichower Land
15;087;Mansfeld-Südharz
15;088;Saalekreis
15;089;Salzlandkreis
15;090;Stendal
15;091;Wittenberg
16;051;Erfurt, Stadt
16;052;Gera, Stadt
16;053;Jena, Stadt
16;054;Suhl, Stadt
16;055;Weimar, Stadt
16;061;Eichsfeld
16;062;Nordhausen
16;063;Wartburgkreis
16;064;Unstrut-Hainich-Kreis
16;065;Kyffhäuserkreis
16;066;Schmalkalden-Meiningen
16;067;Gotha
16;068;Sömmerda
16;069;Hildburghausen
16;070;Ilm-Kreis
16;071;Weimarer Land
16;072;Sonneberg
16;073;Saalfeld-Rudolstadt
16;074;Saale-Holzland-Kreis
16;075;Saale-Orla-Kreis
16;076;Greiz
16;077;Altenburger Land
